代码,名称,涨停次数,最大连板,平均连板,炸板率,平均封板资金,涨停次数_norm,最大连板_norm,平均连板_norm,平均封板资金_norm,封板质量_norm,综合评分
002688,金河生物,1,1,1.0,0.667,32748800.0,0.25,0.125,0.125,0.027112464368766593,0.33299999999999996,18.32
002203,海亮股份,1,1,1.0,0.667,28068827.0,0.25,0.125,0.125,0.023237952899360394,0.33299999999999996,18.26
300486,东杰智能,1,1,1.0,0.667,26412532.0,0.25,0.125,0.125,0.021866719780233395,0.33299999999999996,18.24
600683,京投发展,1,1,1.0,0.667,26512752.0,0.25,0.125,0.125,0.021949691100679878,0.33299999999999996,18.24
600622,光大嘉宝,1,1,1.0,0.667,21403788.0,0.25,0.125,0.125,0.017720021481905716,0.33299999999999996,18.18
920725,惠丰钻石,1,1,1.0,0.667,17330628.0,0.25,0.125,0.125,0.014347885545068785,0.33299999999999996,18.13
603006,联明股份,1,1,1.0,0.667,14073493.0,0.25,0.125,0.125,0.011651330048935718,0.33299999999999996,18.08
605300,佳禾食品,1,1,1.0,0.667,13683969.0,0.25,0.125,0.125,0.011328846306912211,0.33299999999999996,18.08
600857,宁波中百,1,1,1.0,0.667,10753083.0,0.25,0.125,0.125,0.008902389696474063,0.33299999999999996,18.04
603995,甬金股份,1,1,1.0,0.667,6266304.0,0.25,0.125,0.125,0.005187821963670717,0.33299999999999996,17.99
002081,金 螳 螂,1,1,1.0,0.75,104817143.0,0.25,0.125,0.125,0.08677725763458241,0.25,17.55
600176,中国巨石,1,1,1.0,0.75,86931955.0,0.25,0.125,0.125,0.0719702563893859,0.25,17.33
600186,莲花控股,1,1,1.0,0.75,86562250.0,0.25,0.125,0.125,0.07166418063578714,0.25,17.32
002169,智光电气,1,1,1.0,0.75,73476019.0,0.25,0.125,0.125,0.06083019674297431,0.25,17.16
002080,中材科技,1,1,1.0,0.75,71778033.0,0.25,0.125,0.125,0.059424447985045335,0.25,17.14
002636,金安国纪,1,1,1.0,0.75,70468595.0,0.25,0.125,0.125,0.05834037494670167,0.25,17.13
002126,银轮股份,1,1,1.0,0.75,66174700.0,0.25,0.125,0.125,0.05478549430403003,0.25,17.07
002129,TCL中环,1,1,1.0,0.8,130335251.0,0.25,0.125,0.125,0.10790349108155872,0.19999999999999996,16.87
603533,掌阅科技,1,1,1.0,0.75,47098441.0,0.25,0.125,0.125,0.038992415094200567,0.25,16.83
600578,京能电力,1,1,1.0,0.75,41831497.0,0.25,0.125,0.125,0.03463195512216224,0.25,16.77
002952,亚世光电,1,1,1.0,0.75,23109961.0,0.25,0.125,0.125,0.019132548190348517,0.25,16.54
600353,旭光电子,1,1,1.0,0.8,101951355.0,0.25,0.125,0.125,0.08440469512730157,0.19999999999999996,16.52
603031,安孚科技,1,1,1.0,0.75,18630201.0,0.25,0.125,0.125,0.015423791430387059,0.25,16.48
601588,北辰实业,1,1,1.0,0.75,14514966.0,0.25,0.125,0.125,0.012016821944280661,0.25,16.43
600330,天通股份,1,1,1.0,0.833,131499691.0,0.25,0.125,0.125,0.1088675214585364,0.16700000000000004,16.22
688006,杭可科技,1,1,1.0,0.8,48090178.0,0.25,0.125,0.125,0.03981346606631825,0.19999999999999996,15.85
002654,万润科技,1,1,1.0,0.8,32495071.0,0.25,0.125,0.125,0.026902404199483358,0.19999999999999996,15.65
002897,意华股份,1,1,1.0,0.8,26332093.0,0.25,0.125,0.125,0.021800124988321654,0.19999999999999996,15.58
688323,瑞华泰,1,1,1.0,0.8,26771539.0,0.25,0.125,0.125,0.02216393874690203,0.19999999999999996,15.58
605055,迎丰股份,1,1,1.0,0.8,25780872.0,0.25,0.125,0.125,0.02134377361905573,0.19999999999999996,15.57
688512,慧智微-U,1,1,1.0,0.8,23588443.0,0.25,0.125,0.125,0.01952867953488927,0.19999999999999996,15.54
600488,津药药业,1,1,1.0,0.8,21104630.0,0.25,0.125,0.125,0.01747235101411357,0.19999999999999996,15.51
600497,驰宏锌锗,1,1,1.0,0.857,111473284.0,0.25,0.125,0.125,0.09228782247042332,0.14300000000000002,15.49
000536,华映科技,1,1,1.0,0.8,16020494.0,0.25,0.125,0.125,0.013263236294002802,0.19999999999999996,15.45
603685,晨丰科技,1,1,1.0,0.8,13842567.0,0.25,0.125,0.125,0.011460148297334993,0.19999999999999996,15.42
002916,深南电路,1,1,1.0,0.857,103536659.0,0.25,0.125,0.125,0.08571715537664393,0.14300000000000002,15.4
603435,嘉德利,1,1,1.0,0.833,61518220.0,0.25,0.125,0.125,0.050930432497677605,0.16700000000000004,15.35
000630,铜陵有色,1,1,1.0,0.857,85370737.0,0.25,0.125,0.125,0.07067773674295985,0.14300000000000002,15.17
688172,燕东微,1,1,1.0,0.833,45145900.0,0.25,0.125,0.125,0.037375922328326525,0.16700000000000004,15.15
600635,大众公用,1,1,1.0,0.833,40896063.0,0.25,0.125,0.125,0.03385751694444785,0.16700000000000004,15.1
600156,华升股份,1,1,1.0,0.833,24648208.0,0.25,0.125,0.125,0.02040605033326252,0.16700000000000004,14.9
300964,本川智能,1,1,1.0,0.857,60797712.0,0.25,0.125,0.125,0.05033392980208536,0.14300000000000002,14.87
002957,科瑞技术,1,1,1.0,0.889,87753948.0,0.25,0.125,0.125,0.07265077768860527,0.11099999999999999,14.56
600206,有研新材,1,1,1.0,0.889,73525816.0,0.25,0.125,0.125,0.060871423273050874,0.11099999999999999,14.38
000600,建投能源,1,1,1.0,0.889,68204759.0,0.25,0.125,0.125,0.05646616358974413,0.11099999999999999,14.32
301628,强达电路,1,1,1.0,0.889,67996351.0,0.25,0.125,0.125,0.05629362430665083,0.11099999999999999,14.31
688183,生益电子,1,1,1.0,0.938,142092440.0,0.25,0.125,0.125,0.11763717194434925,0.062000000000000055,14.25
002273,水晶光电,1,1,1.0,0.929,122188206.0,0.25,0.125,0.125,0.1011586189862991,0.07099999999999995,14.19
600160,巨化股份,1,1,1.0,0.909,70087019.0,0.25,0.125,0.125,0.058024471289041646,0.09099999999999997,13.94
600151,航天机电,1,1,1.0,0.889,31869880.0,0.25,0.125,0.125,0.026384813670634253,0.11099999999999999,13.87
002056,横店东磁,1,1,1.0,0.875,5407485.0,0.25,0.125,0.125,0.004476812719462692,0.125,13.82
603800,洪田股份,1,1,1.0,0.909,55199530.0,0.25,0.125,0.125,0.04569924059195032,0.09099999999999997,13.76
001896,豫能控股,1,1,1.0,0.909,49159110.0,0.25,0.125,0.125,0.04069842614921088,0.09099999999999997,13.68
600416,湘电股份,1,1,1.0,0.889,16300076.0,0.25,0.125,0.125,0.013494699951087902,0.11099999999999999,13.67
601992,金隅集团,1,1,1.0,0.889,15873816.0,0.25,0.125,0.125,0.013141802774341564,0.11099999999999999,13.67
002920,德赛西威,1,1,1.0,0.889,10803016.0,0.25,0.125,0.125,0.008943728819841196,0.11099999999999999,13.6
600601,方正科技,1,1,1.0,0.938,87340339.0,0.25,0.125,0.125,0.07230835417155729,0.062000000000000055,13.57
301205,联特科技,1,1,1.0,0.917,47667840.0,0.25,0.125,0.125,0.03946381588137785,0.08299999999999996,13.5
000997,新 大 陆,1,1,1.0,0.909,32202412.0,0.25,0.125,0.125,0.02666011420077504,0.09099999999999997,13.47
603936,博敏电子,1,1,1.0,0.923,49719324.0,0.25,0.125,0.125,0.04116222274981562,0.07699999999999996,13.41
002980,华盛昌,1,1,1.0,0.933,59086126.0,0.25,0.125,0.125,0.048916921715099586,0.06699999999999995,13.32
688055,龙腾光电,1,1,1.0,0.909,9385957.0,0.25,0.125,0.125,0.007770557233525362,0.09099999999999997,13.19
600011,华能国际,1,1,1.0,0.917,12164406.0,0.25,0.125,0.125,0.010070812495181825,0.08299999999999996,13.06
000791,甘肃能源,1,1,1.0,0.923,19809519.0,0.25,0.125,0.125,0.016400139182196134,0.07699999999999996,13.04
002826,易明医药,1,1,1.0,0.917,5214858.0,0.25,0.125,0.125,0.0043173383975344875,0.08299999999999996,12.97
688108,赛诺医疗,1,1,1.0,0.923,7807453.0,0.25,0.125,0.125,0.006463726648711398,0.07699999999999996,12.89
601208,东材科技,1,1,1.0,0.929,11613688.0,0.25,0.125,0.125,0.009614877555512633,0.07099999999999995,12.81
601126,XD四方股,1,1,1.0,0.944,31815602.0,0.25,0.125,0.125,0.02633987735721184,0.05600000000000005,12.77
002741,光华科技,1,1,1.0,0.947,35995984.0,0.25,0.125,0.125,0.02980078151317582,0.05300000000000005,12.76
000628,高新发展,1,1,1.0,0.929,4646486.0,0.25,0.125,0.125,0.003846787855279363,0.07099999999999995,12.73
603223,恒通股份,1,1,1.0,0.938,2249450.0,0.25,0.125,0.125,0.0018623013049126078,0.062000000000000055,12.52
603303,得邦照明,1,1,1.0,0.941,3805636.0,0.25,0.125,0.125,0.003150654999587631,0.05900000000000005,12.48
600936,北投科技,1,1,1.0,0.955,17750582.0,0.25,0.125,0.125,0.014695562035856875,0.04500000000000004,12.37
920001,纬达光电,1,1,1.0,0.952,5831398.0,0.25,0.125,0.125,0.004827766834054889,0.04800000000000004,12.28
603127,昭衍新药,1,1,1.0,0.967,12500345.0,0.25,0.125,0.125,0.01034893365282971,0.03300000000000003,12.07
603458,勘设股份,1,1,1.0,0.962,1403024.0,0.25,0.125,0.125,0.0011615521243075893,0.038000000000000034,12.03
